id,name,aliases,type
TJR,Tajik Ruble,TJR|762,currency
TPE,Timor Escudo,TPE|626,currency
TRL,Old Turkish Lira,TRL|792,currency
TMM,Turkmenistan Manat,TMM|795,currency
UGS,Uganda Shilling,UGS|800,currency
UGW,Old Shilling,UGW|800,currency
UAK,Karbovanet,UAK|804,currency
SUR,Rouble,SUR|810,currency
USS,US Dollar (Same day),USS|998,currency
UYN,Old Uruguay Peso,UYN|858,currency
UYP,Uruguayan Peso,UYP|858,currency
VEB,Bolivar,VEB|862,currency
VEF,Bolivar Fuerte,VEF|937,currency
VNC,Old Dong,VNC|704,currency
YDD,Yemeni Dinar,YDD|720,currency
YUD,New Yugoslavian Dinar,YUD|890,currency
YUM,New Dinar,YUM|891,currency
YUN,Yugoslavian Dinar,YUN|890,currency
ZRN,New Zaire,ZRN|180,currency
ZRZ,Zaire,ZRZ|180,currency
ZMK,Zambian Kwacha,ZMK|894,currency
ZWC,Rhodesian Dollar,ZWC|716,currency
ZWD,Zimbabwe Dollar (old),ZWD|716,currency
ZWN,Zimbabwe Dollar (new),ZWN|942,currency
ZWR,Zimbabwe Dollar,ZWR|935,currency
ZWL,ZimbabweÂ Dollar,ZWL|932,currency
XFO,Gold-Franc,XFO,currency
XRE,RINET Funds Code,XRE,currency
XFU,UIC-Franc,XFU,currency
