id,name,aliases,type,country_code
Africa/Lubumbashi,Lubumbashi,Africa/Lubumbashi|Africa|Africa,timezone,CD
Africa/Bangui,Bangui,Africa/Bangui|Africa|Africa,timezone,CF
Africa/Brazzaville,Brazzaville,Africa/Brazzaville|Africa|Africa,timezone,CG
Europe/Zurich,Zurich,Europe/Zurich|Europe|Europe,timezone,CH
Africa/Abidjan,Abidjan,Africa/Abidjan|Africa|Africa,timezone,CI
Pacific/Rarotonga,Rarotonga,Pacific/Rarotonga|Pacific|Pacific,timezone,CK
America/Santiago,Santiago,America/Santiago|America|America,timezone,CL
America/Coyhaique,Coyhaique,America/Coyhaique|America|America,timezone,CL
America/Punta_Arenas,Punta Arenas,America/Punta Arenas|America|America,timezone,CL
Pacific/Easter,Easter,Pacific/Easter|Pacific|Pacific,timezone,CL
Africa/Douala,Douala,Africa/Douala|Africa|Africa,timezone,CM
Asia/Shanghai,Shanghai,Asia/Shanghai|Asia|Asia,timezone,CN
Asia/Urumqi,Urumqi,Asia/Urumqi|Asia|Asia,timezone,CN
America/Bogota,Bogota,America/Bogota|America|America,timezone,CO
America/Costa_Rica,Costa Rica,America/Costa Rica|America|America,timezone,CR
America/Havana,Havana,America/Havana|America|America,timezone,CU
Atlantic/Cape_Verde,Cape Verde,Atlantic/Cape Verde|Atlantic|Atlantic,timezone,CV
America/Curacao,Curacao,America/Curacao|America|America,timezone,CW
Indian/Christmas,Christmas,Indian/Christmas|Indian|Indian,timezone,CX
Asia/Nicosia,Nicosia,Asia/Nicosia|Asia|Asia,timezone,CY
Asia/Famagusta,Famagusta,Asia/Famagusta|Asia|Asia,timezone,CY
Europe/Prague,Prague,Europe/Prague|Europe|Europe,timezone,CZ
Europe/Berlin,Berlin,Europe/Berlin|Europe|Europe,timezone,DE
Europe/Busingen,Busingen,Europe/Busingen|Europe|Europe,timezone,DE
Africa/Djibouti,Djibouti,Africa/Djibouti|Africa|Africa,timezone,DJ
Europe/Copenhagen,Copenhagen,Europe/Copenhagen|Europe|Europe,timezone,DK
America/Dominica,Dominica,America/Dominica|America|America,timezone,DM
America/Santo_Domingo,Santo Domingo,America/Santo Domingo|America|America,timezone,DO
Africa/Algiers,Algiers,Africa/Algiers|Africa|Africa,timezone,DZ
America/Guayaquil,Guayaquil,America/Guayaquil|America|America,timezone,EC
Pacific/Galapagos,Galapagos,Pacific/Galapagos|Pacific|Pacific,timezone,EC
Europe/Tallinn,Tallinn,Europe/Tallinn|Europe|Europe,timezone,EE
Africa/Cairo,Cairo,Africa/Cairo|Africa|Africa,timezone,EG
Africa/El_Aaiun,El Aaiun,Africa/El Aaiun|Africa|Africa,timezone,EH
Africa/Asmara,Asmara,Africa/Asmara|Africa|Africa,timezone,ER
Europe/Madrid,Madrid,Europe/Madrid|Europe|Europe,timezone,ES
Africa/Ceuta,Ceuta,Africa/Ceuta|Africa|Africa,timezone,ES
Atlantic/Canary,Canary,Atlantic/Canary|Atlantic|Atlantic,timezone,ES
Africa/Addis_Ababa,Addis Ababa,Africa/Addis Ababa|Africa|Africa,timezone,ET
Europe/Helsinki,Helsinki,Europe/Helsinki|Europe|Europe,timezone,FI
Pacific/Fiji,Fiji,Pacific/Fiji|Pacific|Pacific,timezone,FJ
Atlantic/Stanley,Stanley,Atlantic/Stanley|Atlantic|Atlantic,timezone,FK
Pacific/Chuuk,Chuuk,Pacific/Chuuk|Pacific|Pacific,timezone,FM
Pacific/Pohnpei,Pohnpei,Pacific/Pohnpei|Pacific|Pacific,timezone,FM
Pacific/Kosrae,Kosrae,Pacific/Kosrae|Pacific|Pacific,timezone,FM
Atlantic/Faroe,Faroe,Atlantic/Faroe|Atlantic|Atlantic,timezone,FO
Europe/Paris,Paris,Europe/Paris|Europe|Europe,timezone,FR
Africa/Libreville,Libreville,Africa/Libreville|Africa|Africa,timezone,GA
Europe/London,London,Europe/London|Europe|Europe,timezone,GB
America/Grenada,Grenada,America/Grenada|America|America,timezone,GD
Asia/Tbilisi,Tbilisi,Asia/Tbilisi|Asia|Asia,timezone,GE
America/Cayenne,Cayenne,America/Cayenne|America|America,timezone,GF
Europe/Guernsey,Guernsey,Europe/Guernsey|Europe|Europe,timezone,GG
Africa/Accra,Accra,Africa/Accra|Africa|Africa,timezone,GH
Europe/Gibraltar,Gibraltar,Europe/Gibraltar|Europe|Europe,timezone,GI
America/Nuuk,Nuuk,America/Nuuk|America|America,timezone,GL
America/Danmarkshavn,Danmarkshavn,America/Danmarkshavn|America|America,timezone,GL
America/Scoresbysund,Scoresbysund,America/Scoresbysund|America|America,timezone,GL
America/Thule,Thule,America/Thule|America|America,timezone,GL
Africa/Banjul,Banjul,Africa/Banjul|Africa|Africa,timezone,GM
Africa/Conakry,Conakry,Africa/Conakry|Africa|Africa,timezone,GN
America/Guadeloupe,Guadeloupe,America/Guadeloupe|America|America,timezone,GP
Africa/Malabo,Malabo,Africa/Malabo|Africa|Africa,timezone,GQ
Europe/Athens,Athens,Europe/Athens|Europe|Europe,timezone,GR
Atlantic/South_Georgia,South Georgia,Atlantic/South Georgia|Atlantic|Atlantic,timezone,GS
America/Guatemala,Guatemala,America/Guatemala|America|America,timezone,GT
Pacific/Guam,Guam,Pacific/Guam|Pacific|Pacific,timezone,GU
Africa/Bissau,Bissau,Africa/Bissau|Africa|Africa,timezone,GW
America/Guyana,Guyana,America/Guyana|America|America,timezone,GY
Asia/Hong_Kong,Hong Kong,Asia/Hong Kong|Asia|Asia,timezone,HK
America/Tegucigalpa,Tegucigalpa,America/Tegucigalpa|America|America,timezone,HN
Europe/Zagreb,Zagreb,Europe/Zagreb|Europe|Europe,timezone,HR
America/Port-au-Prince,Port-au-Prince,America/Port-au-Prince|America|America,timezone,HT
Europe/Budapest,Budapest,Europe/Budapest|Europe|Europe,timezone,HU
Asia/Jakarta,Jakarta,Asia/Jakarta|Asia|Asia,timezone,ID
Asia/Pontianak,Pontianak,Asia/Pontianak|Asia|Asia,timezone,ID
Asia/Makassar,Makassar,Asia/Makassar|Asia|Asia,timezone,ID
Asia/Jayapura,Jayapura,Asia/Jayapura|Asia|Asia,timezone,ID
Europe/Dublin,Dublin,Europe/Dublin|Europe|Europe,timezone,IE
Asia/Jerusalem,Jerusalem,Asia/Jerusalem|Asia|Asia,timezone,IL
Europe/Isle_of_Man,Isle of Man,Europe/Isle of Man|Europe|Europe,timezone,IM
Asia/Kolkata,Kolkata,Asia/Kolkata|Asia|Asia,timezone,IN
Indian/Chagos,Chagos,Indian/Chagos|Indian|Indian,timezone,IO
Asia/Baghdad,Baghdad,Asia/Baghdad|Asia|Asia,timezone,IQ
Asia/Tehran,Tehran,Asia/Tehran|Asia|Asia,timezone,IR
Atlantic/Reykjavik,Reykjavik,Atlantic/Reykjavik|Atlantic|Atlantic,timezone,IS
Europe/Rome,Rome,Europe/Rome|Europe|Europe,timezone,IT
Europe/Jersey,Jersey,Europe/Jersey|Europe|Europe,timezone,JE
America/Jamaica,Jamaica,America/Jamaica|America|America,timezone,JM
Asia/Amman,Amman,Asia/Amman|Asia|Asia,timezone,JO
Asia/Tokyo,Tokyo,Asia/Tokyo|Asia|Asia,timezone,JP
Africa/Nairobi,Nairobi,Africa/Nairobi|Africa|Africa,timezone,KE
Asia/Bishkek,Bishkek,Asia/Bishkek|Asia|Asia,timezone,KG
Asia/Phnom_Penh,Phnom Penh,Asia/Phnom Penh|Asia|Asia,timezone,KH
Pacific/Tarawa,Tarawa,Pacific/Tarawa|Pacific|Pacific,timezone,KI
Pacific/Kanton,Kanton,Pacific/Kanton|Pacific|Pacific,timezone,KI
Pacific/Kiritimati,Kiritimati,Pacific/Kiritimati|Pacific|Pacific,timezone,KI
Indian/Comoro,Comoro,Indian/Comoro|Indian|Indian,timezone,KM
America/St_Kitts,St Kitts,America/St Kitts|America|America,timezone,KN
Asia/Pyongyang,Pyongyang,Asia/Pyongyang|Asia|Asia,timezone,KP
Asia/Seoul,Seoul,Asia/Seoul|Asia|Asia,timezone,KR
Asia/Kuwait,Kuwait,Asia/Kuwait|Asia|Asia,timezone,KW
America/Cayman,Cayman,America/Cayman|America|America,timezone,KY
Asia/Almaty,Almaty,Asia/Almaty|Asia|Asia,timezone,KZ
Asia/Qyzylorda,Qyzylorda,Asia/Qyzylorda|Asia|Asia,timezone,KZ
Asia/Qostanay,Qostanay,Asia/Qostanay|Asia|Asia,timezone,KZ
Asia/Aqtobe,Aqtobe,Asia/Aqtobe|Asia|Asia,timezone,KZ
Asia/Aqtau,Aqtau,Asia/Aqtau|Asia|Asia,timezone,KZ
Asia/Atyrau,Atyrau,Asia/Atyrau|Asia|Asia,timezone,KZ
Asia/Oral,Oral,Asia/Oral|Asia|Asia,timezone,KZ
Asia/Vientiane,Vientiane,Asia/Vientiane|Asia|Asia,timezone,LA
Asia/Beirut,Beirut,Asia/Beirut|Asia|Asia,timezone,LB
America/St_Lucia,St Lucia,America/St Lucia|America|America,timezone,LC
Europe/Vaduz,Vaduz,Europe/Vaduz|Europe|Europe,timezone,LI
Asia/Colombo,Colombo,Asia/Colombo|Asia|Asia,timezone,LK
Africa/Monrovia,Monrovia,Africa/Monrovia|Africa|Africa,timezone,LR
Africa/Maseru,Maseru,Africa/Maseru|Africa|Africa,timezone,LS
Europe/Vilnius,Vilnius,Europe/Vilnius|Europe|Europe,timezone,LT
Europe/Luxembourg,Luxembourg,Europe/Luxembourg|Europe|Europe,timezone,LU
Europe/Riga,Riga,Europe/Riga|Europe|Europe,timezone,LV
Africa/Tripoli,Tripoli,Africa/Tripoli|Africa|Africa,timezone,LY
Africa/Casablanca,Casablanca,Africa/Casablanca|Africa|Africa,timezone,MA
Europe/Monaco,Monaco,Europe/Monaco|Europe|Europe,timezone,MC
Europe/Chisinau,Chisinau,Europe/Chisinau|Europe|Europe,timezone,MD
Europe/Podgorica,Podgorica,Europe/Podgorica|Europe|Europe,timezone,ME
America/Marigot,Marigot,America/Marigot|America|America,timezone,MF
Indian/Antananarivo,Antananarivo,Indian/Antananarivo|Indian|Indian,timezone,MG
Pacific/Majuro,Majuro,Pacific/Majuro|Pacific|Pacific,timezone,MH
Pacific/Kwajalein,Kwajalein,Pacific/Kwajalein|Pacific|Pacific,timezone,MH
Europe/Skopje,Skopje,Europe/Skopje|Europe|Europe,timezone,MK
Africa/Bamako,Bamako,Africa/Bamako|Africa|Africa,timezone,ML
Asia/Yangon,Yangon,Asia/Yangon|Asia|Asia,timezone,MM
